"Estacion","Fecha inicial","Fecha final","O3"
"UNIVERSIDAD DE MEDELLÍN","2024-03-24","","51.59909976"
"UNIVERSIDAD DE MEDELLÍN","2024-03-23","","54.09240226"
"UNIVERSIDAD DE MEDELLÍN","2024-03-22","","59.03813347"
"UNIVERSIDAD DE MEDELLÍN","2024-03-21","","36.61476043"
"UNIVERSIDAD DE MEDELLÍN","2024-03-20","","33.70454504"
"UNIVERSIDAD DE MEDELLÍN","2024-03-19","","45.11651324"
"UNIVERSIDAD DE MEDELLÍN","2024-03-18","","40.43564434"
"UNIVERSIDAD DE MEDELLÍN","2024-03-17","","50.00502111"
"UNIVERSIDAD DE MEDELLÍN","2024-03-16","","50.19304064"
"UNIVERSIDAD DE MEDELLÍN","2024-03-15","","46.06478567"
"UNIVERSIDAD DE MEDELLÍN","2024-03-14","","55.28591756"
"UNIVERSIDAD DE MEDELLÍN","2024-03-13","","43.35076458"
"UNIVERSIDAD DE MEDELLÍN","2024-03-12","","44.21728938"
"UNIVERSIDAD DE MEDELLÍN","2024-03-11","","42.68043407"
"UNIVERSIDAD DE MEDELLÍN","2024-03-10","","42.04280261"
"UNIVERSIDAD DE MEDELLÍN","2024-03-09","","34.49749699"
"UNIVERSIDAD DE MEDELLÍN","2024-03-08","","51.03504116"
"UNIVERSIDAD DE MEDELLÍN","2024-03-07","","53.4547708"
"UNIVERSIDAD DE MEDELLÍN","2024-03-06","","47.5117186"
"UNIVERSIDAD DE MEDELLÍN","2024-03-05","","44.91143333"
"UNIVERSIDAD DE MEDELLÍN","2024-03-04","","58.33213127"
"UNIVERSIDAD DE MEDELLÍN","2024-03-03","","45.16556181"
"UNIVERSIDAD DE MEDELLÍN","2024-03-02","","60.19894972"
"UNIVERSIDAD DE MEDELLÍN","2024-03-01","","60.29704686"
"UNIVERSIDAD DE MEDELLÍN","2024-02-29","","51.65028088"
"UNIVERSIDAD DE MEDELLÍN","2024-02-28","","46.84138809"
"UNIVERSIDAD DE MEDELLÍN","2024-02-27","","47.36457288"
"UNIVERSIDAD DE MEDELLÍN","2024-02-26","","48.67253485"
"UNIVERSIDAD DE MEDELLÍN","2024-02-25","","50.94511877"
"UNIVERSIDAD DE MEDELLÍN","2024-02-24","","45.10833847"
"UNIVERSIDAD DE MEDELLÍN","2024-02-23","","51.69719691"
"UNIVERSIDAD DE MEDELLÍN","2024-02-22","","25.48890891"
"UNIVERSIDAD DE MEDELLÍN","2024-02-21","","41.24985066"
"UNIVERSIDAD DE MEDELLÍN","2024-02-20","","50.02137063"
"UNIVERSIDAD DE MEDELLÍN","2024-02-19","","20.07377425"
"UNIVERSIDAD DE MEDELLÍN","2024-02-18","","37.59573191"
"UNIVERSIDAD DE MEDELLÍN","2024-02-17","","30.73710632"
"UNIVERSIDAD DE MEDELLÍN","2024-02-16","","43.52243459"
"UNIVERSIDAD DE MEDELLÍN","2024-02-15","","38.97726674"
"UNIVERSIDAD DE MEDELLÍN","2024-02-14","","42.91750217"
"UNIVERSIDAD DE MEDELLÍN","2024-02-13","","42.91750218"
"UNIVERSIDAD DE MEDELLÍN","2024-02-12","","49.1384963"
"UNIVERSIDAD DE MEDELLÍN","2024-02-11","","34.62011842"
"UNIVERSIDAD DE MEDELLÍN","2024-02-10","","34.16233173"
"UNIVERSIDAD DE MEDELLÍN","2024-02-09","","27.68791997"
"UNIVERSIDAD DE MEDELLÍN","2024-02-08","","22.72583925"
"UNIVERSIDAD DE MEDELLÍN","2024-02-07","","18.92457477"
"UNIVERSIDAD DE MEDELLÍN","2024-02-06","","33.62279742"
"UNIVERSIDAD DE MEDELLÍN","2024-02-05","","17.78233753"
"UNIVERSIDAD DE MEDELLÍN","2024-02-04","","26.42900658"
"UNIVERSIDAD DE MEDELLÍN","2024-02-03","","30.44281487"
"UNIVERSIDAD DE MEDELLÍN","2024-02-02","","22.48877114"
"UNIVERSIDAD DE MEDELLÍN","2024-02-01","","18.69568142"
"UNIVERSIDAD DE MEDELLÍN","2024-01-31","","38.547914"
"UNIVERSIDAD DE MEDELLÍN","2024-01-30","","34.57924461"
"UNIVERSIDAD DE MEDELLÍN","2024-01-29","","45.65604755"
"UNIVERSIDAD DE MEDELLÍN","2024-01-28","","48.97500105"
"UNIVERSIDAD DE MEDELLÍN","2024-01-27","","54.5420142"
"UNIVERSIDAD DE MEDELLÍN","2024-01-26","","46.13835853"
"UNIVERSIDAD DE MEDELLÍN","2024-01-25","","62.65137841"
"UNIVERSIDAD DE MEDELLÍN","2024-01-24","","60.7221345"
"UNIVERSIDAD DE MEDELLÍN","2024-01-23","","45.10833847"
"UNIVERSIDAD DE MEDELLÍN","2024-01-22","","29.85251099"
"UNIVERSIDAD DE MEDELLÍN","2024-01-21","","35.20052654"
"UNIVERSIDAD DE MEDELLÍN","2024-01-20","","33.87621505"
"UNIVERSIDAD DE MEDELLÍN","2024-01-19","","32.72357356"
"UNIVERSIDAD DE MEDELLÍN","2024-01-18","","34.92258463"
"UNIVERSIDAD DE MEDELLÍN","2024-01-17","","34.93075939"
"UNIVERSIDAD DE MEDELLÍN","2024-01-16","","32.11864115"
"UNIVERSIDAD DE MEDELLÍN","2024-01-15","","30.58178584"
"UNIVERSIDAD DE MEDELLÍN","2024-01-14","","39.00179102"
"UNIVERSIDAD DE MEDELLÍN","2024-01-13","","36.21419707"
"UNIVERSIDAD DE MEDELLÍN","2024-01-12","","34.98798272"
"UNIVERSIDAD DE MEDELLÍN","2024-01-11","","42.45154073"
"UNIVERSIDAD DE MEDELLÍN","2024-01-10","","37.74287763"
"UNIVERSIDAD DE MEDELLÍN","2024-01-09","","46.13835853"
"UNIVERSIDAD DE MEDELLÍN","2024-01-08","","39.09988817"
"UNIVERSIDAD DE MEDELLÍN","2024-01-07","","34.29312793"
"UNIVERSIDAD DE MEDELLÍN","2024-01-06","","42.98290027"
"UNIVERSIDAD DE MEDELLÍN","2024-01-05","","29.69073674"
"UNIVERSIDAD DE MEDELLÍN","2024-01-04","","32.91976786"
"UNIVERSIDAD DE MEDELLÍN","2024-01-03","","22.61139258"
"UNIVERSIDAD DE MEDELLÍN","2024-01-02","","25.73243078"
"UNIVERSIDAD DE MEDELLÍN","2024-01-01","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2023-12-27","","12.94882351"
"UNIVERSIDAD DE MEDELLÍN","2023-12-26","","29.13485291"
"UNIVERSIDAD DE MEDELLÍN","2023-12-25","","30.13217391"
"UNIVERSIDAD DE MEDELLÍN","2023-12-24","","35.2740994"
"UNIVERSIDAD DE MEDELLÍN","2023-12-23","","27.81054141"
"UNIVERSIDAD DE MEDELLÍN","2023-12-22","","31.86522352"
"UNIVERSIDAD DE MEDELLÍN","2023-12-21","","38.66662577"
"UNIVERSIDAD DE MEDELLÍN","2023-12-20","","30.67170822"
"UNIVERSIDAD DE MEDELLÍN","2023-12-19","","26.47805515"
"UNIVERSIDAD DE MEDELLÍN","2023-12-18","","26.96036613"
"UNIVERSIDAD DE MEDELLÍN","2023-12-17","","32.59277737"
"UNIVERSIDAD DE MEDELLÍN","2023-12-16","","25.07199603"
"UNIVERSIDAD DE MEDELLÍN","2023-12-15","","22.37467989"
"UNIVERSIDAD DE MEDELLÍN","2023-12-14","","34.35035126"
"UNIVERSIDAD DE MEDELLÍN","2023-12-13","","41.52779258"
"UNIVERSIDAD DE MEDELLÍN","2023-12-12","","19.92263893"
"UNIVERSIDAD DE MEDELLÍN","2023-12-11","","25.55430701"
"UNIVERSIDAD DE MEDELLÍN","2023-12-10","","25.30088938"
"UNIVERSIDAD DE MEDELLÍN","2023-12-09","","26.13471513"
"UNIVERSIDAD DE MEDELLÍN","2023-12-08","","29.15937719"
"UNIVERSIDAD DE MEDELLÍN","2023-12-07","","22.08820779"
"UNIVERSIDAD DE MEDELLÍN","2023-12-06","","31.97149544"
"UNIVERSIDAD DE MEDELLÍN","2023-12-05","","34.10510839"
"UNIVERSIDAD DE MEDELLÍN","2023-12-04","","31.43196112"
"UNIVERSIDAD DE MEDELLÍN","2023-12-03","","34.99615749"
"UNIVERSIDAD DE MEDELLÍN","2023-12-02","","32.76444737"
"UNIVERSIDAD DE MEDELLÍN","2023-12-01","","29.02040624"
"UNIVERSIDAD DE MEDELLÍN","2023-11-30","","25.2518408"
"UNIVERSIDAD DE MEDELLÍN","2023-11-29","","24.99842317"
"UNIVERSIDAD DE MEDELLÍN","2023-11-28","","18.22047894"
"UNIVERSIDAD DE MEDELLÍN","2023-11-27","","25.43168557"
"UNIVERSIDAD DE MEDELLÍN","2023-11-26","","28.36642525"
"UNIVERSIDAD DE MEDELLÍN","2023-11-25","","35.39672084"
"UNIVERSIDAD DE MEDELLÍN","2023-11-24","","32.2821364"
"UNIVERSIDAD DE MEDELLÍN","2023-11-23","","21.92471254"
"UNIVERSIDAD DE MEDELLÍN","2023-11-22","","21.38517823"
"UNIVERSIDAD DE MEDELLÍN","2023-11-21","","19.79109957"
"UNIVERSIDAD DE MEDELLÍN","2023-11-20","","17.37954469"
"UNIVERSIDAD DE MEDELLÍN","2023-11-19","","15.63014555"
