"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"ALMACÉN GENERAL DE EPM","2024-05-20","","23.83258333"
"ALMACÉN GENERAL DE EPM","2024-05-19","","25.05963889"
"ALMACÉN GENERAL DE EPM","2024-05-18","","24.93995833"
"ALMACÉN GENERAL DE EPM","2024-05-17","","23.90840972"
"ALMACÉN GENERAL DE EPM","2024-05-16","","22.22210417"
"ALMACÉN GENERAL DE EPM","2024-05-15","","21.76795139"
"ALMACÉN GENERAL DE EPM","2024-05-14","","22.7519375"
"ALMACÉN GENERAL DE EPM","2024-05-13","","24.05218056"
"ALMACÉN GENERAL DE EPM","2024-05-12","","21.62465278"
"ALMACÉN GENERAL DE EPM","2024-05-11","","22.36218056"
"ALMACÉN GENERAL DE EPM","2024-05-10","","21.94990972"
"ALMACÉN GENERAL DE EPM","2024-05-09","","20.88228472"
"ALMACÉN GENERAL DE EPM","2024-05-08","","22.55439583"
"ALMACÉN GENERAL DE EPM","2024-05-07","","24.03009028"
"ALMACÉN GENERAL DE EPM","2024-05-06","","24.32093056"
"ALMACÉN GENERAL DE EPM","2024-05-05","","23.57370139"
"ALMACÉN GENERAL DE EPM","2024-05-04","","21.10619444"
"ALMACÉN GENERAL DE EPM","2024-05-03","","22.23570833"
"ALMACÉN GENERAL DE EPM","2024-05-02","","20.96684503"
"ALMACÉN GENERAL DE EPM","2024-05-01","","23.93158333"
"ALMACÉN GENERAL DE EPM","2024-04-30","","23.279875"
"ALMACÉN GENERAL DE EPM","2024-04-29","","22.90194753"
"ALMACÉN GENERAL DE EPM","2024-04-28","","21.3029375"
"ALMACÉN GENERAL DE EPM","2024-04-27","","21.56359028"
"ALMACÉN GENERAL DE EPM","2024-04-26","","21.24708333"
"ALMACÉN GENERAL DE EPM","2024-04-25","","23.24654861"
"ALMACÉN GENERAL DE EPM","2024-04-24","","24.05099306"
"ALMACÉN GENERAL DE EPM","2024-04-23","","21.78245139"
"ALMACÉN GENERAL DE EPM","2024-04-22","","20.08296528"
"ALMACÉN GENERAL DE EPM","2024-04-21","","21.62044444"
"ALMACÉN GENERAL DE EPM","2024-04-20","","21.90929167"
"ALMACÉN GENERAL DE EPM","2024-04-19","","20.75359028"
"ALMACÉN GENERAL DE EPM","2024-04-18","","22.43544444"
"ALMACÉN GENERAL DE EPM","2024-04-17","","24.29173611"
"ALMACÉN GENERAL DE EPM","2024-04-16","","25.38276389"
"ALMACÉN GENERAL DE EPM","2024-04-15","","24.87361111"
"ALMACÉN GENERAL DE EPM","2024-04-14","","25.20815972"
"ALMACÉN GENERAL DE EPM","2024-04-13","","25.85477778"
"ALMACÉN GENERAL DE EPM","2024-04-12","","25.72265278"
"ALMACÉN GENERAL DE EPM","2024-04-11","","25.11011806"
"ALMACÉN GENERAL DE EPM","2024-04-10","","28.24371931"
